T0,T1,T2,T3,T4,T5,TotalCancelled,Date
1,73,128,147,159,46,554,2008-01-01
0,73,126,130,147,35,511,2008-01-02
0,71,129,116,122,37,475,2008-01-03
0,101,233,161,201,73,769,2008-01-04
1,72,109,117,112,45,456,2008-01-05
0,78,173,179,200,53,683,2008-01-06
0,81,107,138,201,52,579,2008-01-07
0,88,100,103,139,33,463,2008-01-08
0,50,110,96,91,30,377,2008-01-09
0,51,103,89,78,20,341,2008-01-10
0,50,118,154,165,37,524,2008-01-11
0,36,58,39,61,32,226,2008-01-12
0,28,50,44,145,92,359,2008-01-13
1,309,353,134,86,26,909,2008-01-14
0,48,104,72,62,13,299,2008-01-15
0,30,55,69,240,139,533,2008-01-16
2,194,247,184,212,34,873,2008-01-17
1,46,62,54,54,13,230,2008-01-18
0,133,286,265,154,44,882,2008-01-19
1,48,66,66,53,13,247,2008-01-20
0,36,92,123,181,43,475,2008-01-21
0,150,250,142,198,48,788,2008-01-22
0,62,105,132,192,39,530,2008-01-23
0,57,92,82,66,25,322,2008-01-24
0,74,179,113,120,40,526,2008-01-25
0,98,189,78,48,7,420,2008-01-26
0,60,185,167,166,60,638,2008-01-27
0,66,119,210,221,38,654,2008-01-28
0,44,108,255,363,119,889,2008-01-29
0,153,190,203,124,24,694,2008-01-30
0,39,162,296,461,124,1082,2008-01-31
0,243,403,302,291,65,1304,2008-02-01
0,39,66,78,64,16,263,2008-02-02
0,38,120,138,300,114,710,2008-02-03
0,116,341,480,581,177,1695,2008-02-04
0,176,175,195,393,123,1062,2008-02-05
0,273,448,620,609,149,2099,2008-02-06
0,127,103,77,63,20,390,2008-02-07
0,46,80,101,105,16,348,2008-02-08
0,34,54,48,39,19,194,2008-02-09
0,38,81,113,148,36,416,2008-02-10
0,72,123,149,203,53,600,2008-02-11
0,138,238,356,701,202,1635,2008-02-12
1,254,280,278,245,104,1162,2008-02-13
0,72,92,80,74,27,345,2008-02-14
0,34,55,45,68,18,220,2008-02-15
0,27,54,132,131,32,376,2008-02-16
0,74,246,280,251,68,919,2008-02-17
1,63,89,125,151,31,460,2008-02-18
0,47,50,44,78,27,246,2008-02-19
0,35,76,60,50,24,245,2008-02-20
1,59,180,204,255,104,803,2008-02-21
0,363,588,595,485,127,2158,2008-02-22
2,114,133,77,51,17,394,2008-02-23
0,27,72,66,81,22,268,2008-02-24
1,39,83,158,257,55,593,2008-02-25
1,94,178,212,286,63,834,2008-02-26
2,65,70,39,39,18,233,2008-02-27
0,45,65,66,50,31,257,2008-02-28
0,45,76,88,122,36,367,2008-02-29
0,64,53,33,27,12,189,2008-03-01
0,25,75,65,50,23,238,2008-03-02
0,58,127,215,253,52,705,2008-03-03
0,87,153,247,338,85,910,2008-03-04
1,121,137,122,99,17,497,2008-03-05
0,31,75,328,386,105,925,2008-03-06
4,126,232,241,355,98,1056,2008-03-07
2,175,333,477,377,92,1456,2008-03-08
1,125,184,127,132,42,611,2008-03-09
0,69,77,111,116,29,402,2008-03-10
0,63,151,54,48,20,336,2008-03-11
0,56,82,73,64,16,291,2008-03-12
0,16,29,39,30,11,125,2008-03-13
0,14,34,24,25,13,110,2008-03-14
0,26,35,32,60,17,170,2008-03-15
0,30,36,46,43,14,169,2008-03-16
0,42,86,59,69,14,270,2008-03-17
0,74,433,671,569,137,1884,2008-03-18
2,121,122,161,190,57,653,2008-03-19
0,48,56,90,75,19,288,2008-03-20
0,98,339,370,421,90,1318,2008-03-21
0,75,46,18,17,10,166,2008-03-22
0,21,33,25,32,5,116,2008-03-23
0,14,32,36,35,28,145,2008-03-24
0,52,93,71,77,19,312,2008-03-25
0,71,143,130,147,61,552,2008-03-26
0,104,178,182,201,32,697,2008-03-27
0,44,54,47,41,14,200,2008-03-28
0,19,35,31,22,4,111,2008-03-29
0,21,52,94,111,24,302,2008-03-30
0,42,145,310,419,63,979,2008-03-31
2,62,89,117,134,30,434,2008-04-01
0,41,54,45,27,7,174,2008-04-02
0,31,59,59,46,21,216,2008-04-03
0,49,117,206,251,63,686,2008-04-04
1,71,52,38,31,4,197,2008-04-05
0,20,24,28,40,14,126,2008-04-06
0,19,59,79,69,17,243,2008-04-07
0,44,61,140,351,129,725,2008-04-08
0,217,367,358,302,88,1332,2008-04-09
0,195,366,352,380,111,1404,2008-04-10
0,165,248,221,221,67,922,2008-04-11
0,80,128,61,24,5,298,2008-04-12
0,15,46,25,27,5,118,2008-04-13
0,15,35,46,34,10,140,2008-04-14
0,25,45,37,38,12,157,2008-04-15
0,25,34,30,56,10,155,2008-04-16
0,18,25,25,25,41,134,2008-04-17
0,41,49,47,26,8,171,2008-04-18
0,17,54,35,19,5,130,2008-04-19
0,11,29,32,47,7,126,2008-04-20
0,17,39,33,19,12,120,2008-04-21
0,21,38,39,37,10,145,2008-04-22
0,32,29,43,34,32,170,2008-04-23
0,39,37,29,35,15,155,2008-04-24
1,32,50,134,319,108,644,2008-04-25
0,92,69,49,41,8,259,2008-04-26
0,21,30,28,33,12,124,2008-04-27
0,31,53,137,239,58,518,2008-04-28
2,46,41,32,32,15,168,2008-04-29
0,22,80,33,22,7,164,2008-04-30
0,22,35,47,36,10,150,2008-05-01
0,31,115,241,243,63,693,2008-05-02
0,73,58,24,16,8,179,2008-05-03
1,13,22,34,27,14,111,2008-05-04
0,20,36,40,42,9,147,2008-05-05
0,35,86,53,51,7,232,2008-05-06
0,38,101,70,72,25,306,2008-05-07
0,23,36,39,28,7,133,2008-05-08
0,33,52,97,128,31,341,2008-05-09
0,24,38,12,16,1,91,2008-05-10
0,17,44,95,127,19,302,2008-05-11
0,26,53,108,136,42,365,2008-05-12
0,24,45,34,36,12,151,2008-05-13
0,27,87,82,46,14,256,2008-05-14
0,36,42,26,20,9,133,2008-05-15
0,9,26,41,76,21,173,2008-05-16
0,14,19,15,12,1,61,2008-05-17
1,11,38,20,13,7,90,2008-05-18
0,21,29,29,33,11,123,2008-05-19
0,25,30,57,63,31,206,2008-05-20
0,31,44,37,33,13,158,2008-05-21
0,14,25,33,32,8,112,2008-05-22
0,13,24,19,16,9,81,2008-05-23
0,13,8,17,9,0,47,2008-05-24
0,7,13,14,11,3,48,2008-05-25
0,12,20,18,15,7,72,2008-05-26
0,10,48,261,288,68,675,2008-05-27
0,48,51,37,29,11,176,2008-05-28
0,15,31,32,31,9,118,2008-05-29
1,25,63,100,129,22,340,2008-05-30
0,22,32,43,50,12,159,2008-05-31
0,14,25,29,36,7,111,2008-06-01
1,23,31,22,24,8,109,2008-06-02
0,27,56,105,137,51,376,2008-06-03
0,55,62,89,251,75,532,2008-06-04
0,76,100,74,101,29,380,2008-06-05
2,32,45,130,233,45,487,2008-06-06
0,49,52,41,93,13,248,2008-06-07
1,38,83,228,359,102,811,2008-06-08
1,110,100,91,177,45,524,2008-06-09
1,58,54,104,264,108,589,2008-06-10
0,66,83,51,53,22,275,2008-06-11
0,41,45,36,50,23,195,2008-06-12
0,47,72,123,189,37,468,2008-06-13
0,40,42,47,142,63,334,2008-06-14
1,76,114,112,94,30,427,2008-06-15
0,28,49,151,353,126,707,2008-06-16
0,54,59,138,82,24,357,2008-06-17
0,26,25,37,106,46,240,2008-06-18
1,49,180,73,55,16,374,2008-06-19
0,24,34,40,47,14,159,2008-06-20
0,13,21,31,24,10,99,2008-06-21
0,16,42,105,231,81,475,2008-06-22
2,46,60,91,146,53,398,2008-06-23
0,30,44,64,83,22,243,2008-06-24
0,36,35,51,63,31,216,2008-06-25
0,34,53,103,155,38,383,2008-06-26
0,52,55,52,161,47,367,2008-06-27
1,27,35,52,132,41,288,2008-06-28
1,55,59,91,262,68,536,2008-06-29
1,55,59,38,53,17,223,2008-06-30
0,20,33,19,42,9,123,2008-07-01
0,23,34,54,150,48,309,2008-07-02
0,52,55,28,34,12,181,2008-07-03
0,11,23,19,12,2,67,2008-07-04
0,11,21,29,24,6,91,2008-07-05
0,19,26,65,130,36,276,2008-07-06
0,46,77,66,72,24,285,2008-07-07
0,38,40,55,132,65,330,2008-07-08
0,53,70,87,125,29,364,2008-07-09
0,35,43,117,215,100,510,2008-07-10
0,100,110,52,64,18,344,2008-07-11
0,44,80,37,20,5,186,2008-07-12
0,21,59,285,382,113,860,2008-07-13
0,114,84,59,35,14,306,2008-07-14
0,33,59,49,44,9,194,2008-07-15
0,25,54,45,50,17,191,2008-07-16
0,18,37,38,43,23,159,2008-07-17
0,35,32,44,67,31,209,2008-07-18
1,36,43,38,24,15,157,2008-07-19
0,21,59,55,139,60,334,2008-07-20
0,58,98,73,87,27,343,2008-07-21
0,29,68,68,142,50,357,2008-07-22
0,68,102,250,573,255,1248,2008-07-23
5,180,162,121,146,49,663,2008-07-24
1,67,57,59,65,34,283,2008-07-25
1,24,44,24,28,15,136,2008-07-26
0,21,80,310,354,118,883,2008-07-27
3,82,81,82,78,29,355,2008-07-28
2,40,53,53,53,29,230,2008-07-29
1,28,37,50,62,23,201,2008-07-30
0,41,60,101,178,43,423,2008-07-31
0,75,74,60,44,17,270,2008-08-01
0,40,72,187,167,46,512,2008-08-02
1,51,85,68,75,26,306,2008-08-03
0,64,208,239,259,106,876,2008-08-04
0,142,248,182,138,23,733,2008-08-05
0,28,45,49,94,22,238,2008-08-06
0,31,46,65,133,46,321,2008-08-07
0,43,39,61,145,60,348,2008-08-08
0,16,12,13,30,5,76,2008-08-09
0,17,58,237,334,127,773,2008-08-10
15,73,147,254,235,73,797,2008-08-11
2,52,33,32,29,17,165,2008-08-12
1,14,34,39,40,5,133,2008-08-13
0,17,26,81,211,106,441,2008-08-14
3,72,141,141,270,102,729,2008-08-15
1,48,44,23,29,10,155,2008-08-16
0,10,28,43,36,7,124,2008-08-17
0,19,33,44,51,24,171,2008-08-18
0,53,145,149,155,50,552,2008-08-19
0,64,44,54,54,12,228,2008-08-20
0,31,74,60,70,21,256,2008-08-21
0,37,39,63,75,33,247,2008-08-22
0,35,38,46,27,4,150,2008-08-23
0,17,25,33,23,10,108,2008-08-24
0,18,31,95,125,16,285,2008-08-25
0,25,42,78,130,37,312,2008-08-26
0,35,48,37,21,9,150,2008-08-27
0,21,31,25,24,10,111,2008-08-28
0,19,24,30,46,7,126,2008-08-29
0,13,14,17,9,0,53,2008-08-30
0,10,16,8,40,15,89,2008-08-31
0,66,132,134,137,38,507,2008-09-01
0,83,110,94,90,24,401,2008-09-02
0,63,83,66,65,23,300,2008-09-03
0,56,57,73,114,28,328,2008-09-04
0,48,49,37,70,28,232,2008-09-05
0,82,95,92,75,14,358,2008-09-06
0,29,29,16,11,5,90,2008-09-07
0,17,28,29,72,23,169,2008-09-08
0,47,168,196,113,22,546,2008-09-09
0,16,44,20,12,4,96,2008-09-10
0,11,20,22,17,10,80,2008-09-11
0,67,200,370,422,102,1161,2008-09-12
5,186,373,443,292,41,1340,2008-09-13
4,163,359,451,506,114,1597,2008-09-14
1,165,223,131,117,44,681,2008-09-15
0,80,60,25,62,40,267,2008-09-16
0,68,60,30,64,40,262,2008-09-17
0,65,40,24,58,34,221,2008-09-18
0,19,18,15,12,7,71,2008-09-19
0,19,28,18,19,4,88,2008-09-20
0,13,66,20,10,4,113,2008-09-21
1,12,22,26,19,11,91,2008-09-22
0,12,26,26,9,4,77,2008-09-23
0,11,23,19,15,6,74,2008-09-24
0,8,27,34,27,3,99,2008-09-25
0,14,64,117,113,22,330,2008-09-26
0,11,20,19,13,3,66,2008-09-27
0,13,21,8,15,10,67,2008-09-28
0,13,26,24,29,4,96,2008-09-29
0,12,36,29,19,9,105,2008-09-30
0,15,29,27,24,5,100,2008-10-01
0,12,27,24,15,8,86,2008-10-02
0,11,20,18,18,6,73,2008-10-03
0,10,14,13,6,1,44,2008-10-04
0,7,16,12,18,5,58,2008-10-05
0,10,23,26,19,10,88,2008-10-06
0,17,28,23,20,9,97,2008-10-07
0,18,22,20,47,17,124,2008-10-08
0,27,28,27,15,4,101,2008-10-09
0,12,27,23,7,2,71,2008-10-10
0,3,15,18,12,0,48,2008-10-11
0,13,22,18,11,3,67,2008-10-12
0,11,21,14,16,3,65,2008-10-13
0,8,23,26,18,4,79,2008-10-14
0,9,25,25,94,20,173,2008-10-15
1,20,32,22,8,1,84,2008-10-16
0,11,22,25,14,10,82,2008-10-17
0,13,14,12,3,2,44,2008-10-18
0,5,8,13,7,3,36,2008-10-19
0,12,22,19,23,4,80,2008-10-20
0,15,26,21,16,14,92,2008-10-21
0,22,29,27,56,14,148,2008-10-22
0,28,14,20,6,4,72,2008-10-23
0,19,23,31,21,8,102,2008-10-24
0,17,19,32,60,30,158,2008-10-25
0,17,30,12,27,10,96,2008-10-26
0,25,40,40,49,10,164,2008-10-27
0,23,90,116,125,42,396,2008-10-28
0,35,42,31,26,40,174,2008-10-29
0,37,30,23,25,13,128,2008-10-30
0,20,42,30,20,7,119,2008-10-31
0,11,16,23,23,1,74,2008-11-01
0,13,20,16,13,2,64,2008-11-02
0,15,33,44,46,13,151,2008-11-03
0,23,36,49,55,19,182,2008-11-04
0,16,36,30,20,10,112,2008-11-05
0,18,80,104,112,26,340,2008-11-06
0,17,29,26,46,13,131,2008-11-07
0,12,18,28,24,7,89,2008-11-08
0,6,21,28,28,6,89,2008-11-09
0,19,26,34,73,45,197,2008-11-10
0,61,58,31,25,10,185,2008-11-11
0,22,47,42,56,19,186,2008-11-12
0,37,47,82,65,19,250,2008-11-13
0,53,109,96,90,33,381,2008-11-14
0,21,36,45,46,19,167,2008-11-15
0,7,13,34,27,8,89,2008-11-16
0,19,32,34,28,10,123,2008-11-17
0,26,57,37,29,4,153,2008-11-18
0,24,40,40,31,7,142,2008-11-19
0,33,44,40,24,7,148,2008-11-20
0,15,41,43,18,3,120,2008-11-21
0,17,23,16,14,2,72,2008-11-22
0,13,33,17,18,4,85,2008-11-23
0,21,50,45,40,6,162,2008-11-24
0,15,39,30,16,6,106,2008-11-25
0,14,12,8,9,2,45,2008-11-26
0,8,10,7,2,1,28,2008-11-27
0,2,9,11,12,3,37,2008-11-28
0,11,20,31,19,6,87,2008-11-29
0,20,40,80,215,108,463,2008-11-30
1,91,98,110,116,48,464,2008-12-01
0,52,34,27,22,6,141,2008-12-02
0,26,55,80,82,20,263,2008-12-03
0,26,61,44,32,10,173,2008-12-04
0,33,48,34,31,15,161,2008-12-05
0,18,18,16,11,5,68,2008-12-06
0,19,25,39,33,16,132,2008-12-07
0,19,46,84,92,35,276,2008-12-08
0,57,126,115,144,60,502,2008-12-09
0,63,141,184,223,64,675,2008-12-10
0,114,185,169,153,61,682,2008-12-11
0,68,95,64,52,18,297,2008-12-12
0,23,28,35,35,5,126,2008-12-13
0,18,52,60,58,18,206,2008-12-14
0,57,114,166,194,47,578,2008-12-15
0,68,145,262,413,132,1020,2008-12-16
0,135,135,234,261,118,883,2008-12-17
3,148,255,167,257,145,975,2008-12-18
0,329,462,559,573,166,2089,2008-12-19
2,103,101,140,288,107,741,2008-12-20
6,189,360,490,533,196,1774,2008-12-21
7,200,255,220,173,55,910,2008-12-22
2,65,142,240,326,93,868,2008-12-23
0,82,87,61,53,15,298,2008-12-24
0,22,44,37,79,32,214,2008-12-25
0,85,158,297,491,189,1220,2008-12-26
0,199,210,158,176,45,788,2008-12-27
1,77,81,66,48,5,278,2008-12-28
0,27,23,41,37,10,138,2008-12-29
0,19,36,46,107,77,285,2008-12-30
0,76,157,163,124,34,554,2008-12-31
