Week,Hour,Avg
1,1,7.64257964257964
1,2,6.92462311557789
1,3,4.33620689655172
1,4,22.9506172839506
1,5,14.8496240601504
1,6,1.66500138773245
1,7,2.1949693799774
1,8,3.50485750386073
1,9,5.35890264050317
1,10,6.7235894403251
1,11,8.60773489230388
1,12,9.58969376534563
1,13,10.6794196737678
1,14,12.0353794205433
1,15,13.2876231917001
1,16,13.3613571759106
1,17,14.0746009555559
1,18,14.8353918808464
1,19,15.3868293653425
1,20,14.716732565568
1,21,14.9052260832899
1,22,13.0508571897301
1,23,7.83012586276898
1,24,8.69887586701746
2,1,4.35560859188544
2,2,5.19070904645477
2,3,3.84210526315789
2,4,5.47435897435897
2,5,-0.712230215827338
2,6,0.983062517212889
2,7,0.984458672113333
2,8,1.84179640549216
2,9,3.73832277929472
2,10,5.18900479707607
2,11,6.61559514092284
2,12,7.42069589486436
2,13,8.50107620850933
2,14,9.88262781748213
2,15,11.0349676496407
2,16,11.918539884623
2,17,13.0110538064814
2,18,14.2664860938777
2,19,14.8827126733953
2,20,14.6039744499645
2,21,15.6739462929068
2,22,12.8474130290273
2,23,8.71101219914276
2,24,9.12322154471545
3,1,3.44716821639899
3,2,4.2641975308642
3,3,2.73913043478261
3,4,9.77611940298507
3,5,4.98507462686567
3,6,0.447545717035611
3,7,0.711700986420367
3,8,1.79479407843963
3,9,3.31686239432149
3,10,4.48483016129764
3,11,5.89058737630299
3,12,6.65009982455079
3,13,7.73226023663706
3,14,8.86701754909123
3,15,9.98335876636415
3,16,10.7407864429089
3,17,11.7613159335645
3,18,13.2677275601457
3,19,14.5357431440774
3,20,13.8716069769842
3,21,15.0037637088734
3,22,12.7554322445952
3,23,8.51846141361681
3,24,9.59766162310867
4,1,5.65691056910569
4,2,5.34848484848485
4,3,1.98260869565217
4,4,13.2567567567568
4,5,10.2913385826772
4,6,1.08905817174515
4,7,0.859632304661852
4,8,1.74137567624535
4,9,3.31489689448215
4,10,4.23318807792168
4,11,5.77562464178943
4,12,7.00684931506849
4,13,8.34918305133954
4,14,10.2110173323286
4,15,12.0268155513897
4,16,13.1136809224737
4,17,14.5493075306047
4,18,16.0728401085664
4,19,17.6762087043355
4,20,17.4688797401289
4,21,18.7625910005715
4,22,16.4328916348264
4,23,11.5484941709845
4,24,13.3969325153374
5,1,7.63141524105754
5,2,6.4937343358396
5,3,9
5,4,5.125
5,5,2.37404580152672
5,6,1.87835022913484
5,7,1.59471266795132
5,8,2.84074908476485
5,9,4.76625776691259
5,10,6.66276475442404
5,11,8.4264123897666
5,12,9.62054376999712
5,13,11.8377066683923
5,14,13.7774594512657
5,15,15.4728621376989
5,16,16.220375782881
5,17,17.5531552458382
5,18,18.9213725400248
5,19,19.9538662120148
5,20,19.8192547015678
5,21,21.234391349843
5,22,17.7568832152323
5,23,12.8232820187272
5,24,12.7751798561151
6,1,6.25110456553756
6,2,7.46115288220551
6,3,1.425
6,4,10.3950617283951
6,5,2.42537313432836
6,6,1.72067851373183
6,7,2.06826995090289
6,8,2.90415830600825
6,9,4.15718908922792
6,10,5.55309434399246
6,11,6.86213891875022
6,12,8.24060910285348
6,13,9.26180205880837
6,14,10.4338708031432
6,15,11.4580819336486
6,16,11.9025051730719
6,17,11.9124220183486
6,18,13.0124482134869
6,19,13.1003452549575
6,20,12.9663615560641
6,21,13.6151456149799
6,22,10.4931926955067
6,23,8.76871371830125
6,24,9.15441357265798
7,1,3.16873449131514
7,2,6.24619289340102
7,3,0.982300884955752
7,4,5.74285714285714
7,5,3.00813008130081
7,6,2.84373177842566
7,7,1.64872769270892
7,8,1.98177640300486
7,9,3.14152415428785
7,10,4.49377209770022
7,11,6.19924210930255
7,12,7.93862983939794
7,13,9.94767746156363
7,14,12.0069148854434
7,15,13.9831161771731
7,16,15.0486497420856
7,17,16.5053623457938
7,18,18.3174432202868
7,19,19.4827339208076
7,20,19.5832007746041
7,21,21.285996786553
7,22,18.3865501008742
7,23,14.1356027683889
7,24,14.7483074472322
